citing_title,citing_year,citing_venue,citing_link,cites_stacy_paper
Theory of the Counterinsurgent Girl,2026,Cambridge University Press eBooks,https://doi.org/10.1017/9781009521826,https://openalex.org/W2766051028
Teacher Content Knowledge in Indian Secondary Schools and Its Relationship with Student Learning,2026,AEA Papers and Proceedings,https://doi.org/10.1257/pandp.20261030,https://openalex.org/W2766051028
Generative AI feedback loops drive cognitive engagement and equity via the digital Hawthorne effect,2026,Research Square,https://doi.org/10.21203/rs.3.rs-9121799/v1,https://openalex.org/W2766051028
The access-quality paradox: Examining the disconnect between financial inputs and learning outcomes in Zambia’s free education policy,2026,African Journal of Empirical Research,https://doi.org/10.51867/ajernet.7.1.20,https://openalex.org/W2766051028
High temperature and learning outcomes: Evidence from Ethiopia,2026,Journal of Environmental Economics and Management,https://doi.org/10.1016/j.jeem.2025.103278,https://openalex.org/W2766051028
Learning-Adjusted Years of Schooling Worldwide,2026,Population economics,https://doi.org/10.1007/978-3-032-13277-2_3,https://openalex.org/W2766051028
Between chalk and chains: the political economy of teachers and learning-focused reforms in low- and middle-income countries,2026,International Journal of Leadership in Education,https://doi.org/10.1080/13603124.2026.2703964,https://openalex.org/W2580942528
Language Discordance and its Moderating Effects on Early-Grade Bilingual Reading Intervention Outcomes in Ghana,2026,Journal of Research on Educational Effectiveness,https://doi.org/10.1080/19345747.2026.2686686,https://openalex.org/W2580942528
Digital payments of health workers within vaccination campaigns: a mixed-methods study in Chad,2026,BMJ Global Health,https://doi.org/10.1136/bmjgh-2025-018989,https://openalex.org/W2580942528
An Analysis of Problems Posed by Pre-service Primary School Teachers on Fraction Division,2026,Sınırsız Eğitim ve Araştırma Dergisi,https://doi.org/10.29250/sead.1805277,https://openalex.org/W2580942528
Is Free Education Really Free? Achievements and Challenges of Free Basic and Secondary Education in Sub‐Saharan Africa,2026,Diversity & Inclusion Research,https://doi.org/10.1002/dvr2.70053,https://openalex.org/W2580942528
Leadership practices and teacher professional learning and development in public senior high schools in Ghana: insights from teachers and educational leaders,2026,Professional Development in Education,https://doi.org/10.1080/19415257.2025.2604024,https://openalex.org/W2580942528
Measuring Education Management in LAC and Why It Matters,2026,Studies in educational leadership,https://doi.org/10.1007/978-3-032-01094-0_6,https://openalex.org/W2580942528
"‘Sometimes, I would look at my books and cry because I felt like I was left behind’: Understanding the learning of Indigenous girls during the <scp>COVID</scp> ‐19 pandemic in the districts of Chongwe and Solwezi in Zambia",2026,British Educational Research Journal,https://doi.org/10.1002/berj.70141,https://openalex.org/W3142663501
Flight and Falling,2026,Springer briefs in education,https://doi.org/10.1007/978-981-95-6931-1_4,https://openalex.org/W3142663501
Linguistic Barriers and Pedagogical Solutions in Malay Essay Writing among Students of Malaysian Independent Chinese Secondary Schools: A Mixed-Methods Case Study,2026,Open Journal of Social Sciences,https://doi.org/10.4236/jss.2026.147017,https://openalex.org/W3142663501
"Women, Infants and Children ( <scp>WIC</scp> ) Participation and Breastfeeding Behavior: Comparing Foreign‐Born to <scp>US</scp> ‐Born Mothers",2026,Birth,https://doi.org/10.1111/birt.70081,https://openalex.org/W2903171032
"Resilience in Breastfeeding Planning Among Mothers in the Special Supplemental Nutrition Programme for Women, Infants and Children",2026,Journal of Human Nutrition and Dietetics,https://doi.org/10.1111/jhn.70197,https://openalex.org/W2903171032
Indicators of Household Composition Are Associated with Adherence to Fruit and Vegetable Intake Recommendations Among Caretakers Eligible for SNAP with Children,2026,International Journal of Environmental Research and Public Health,https://doi.org/10.3390/ijerph23060765,https://openalex.org/W3213634859
