title,date,type,url
Unlocking the Drivers of Learning for a Skilled Future : Insights from the Global Education Policy Dashboard,2026-06-11,Report,http://documents.worldbank.org/curated/en/099061126040035132/null
HCI Plus Methodology Note,2026-02-09,Report,http://documents.worldbank.org/curated/en/099739302092670114/null
2025 Update of the Statistical Performance Indicators: What is New?,2025-11-24,Report,http://documents.worldbank.org/curated/en/099010211242513346/null
2024 Update of the Statistical Performance Indicators: What is New?,2024-11-11,Report,http://documents.worldbank.org/curated/en/099906411082488994/null
Reviewing Assessment Tools for Measuring Country Statistical Capacity ,2024-03-06,Policy Research Working Paper,http://documents.worldbank.org/curated/en/099452403062436721/null
Update of the Statistical Performance Indicators: What is New?,2024-01-17,Report,http://documents.worldbank.org/curated/en/099051301172444558/null
Missing Evidence : Tracking Academic Data Use around the World,2024-01-17,Policy Research Working Paper,http://documents.worldbank.org/curated/en/099503001172493286/null
Statistical Performance Indicators (SPI): Protocols for Quality Assurance,2024-01-17,Report,http://documents.worldbank.org/curated/en/099046201172417098/null
Missing SDG Gender Indicators,2023-08-10,Policy Research Working Paper,http://documents.worldbank.org/curated/en/099401008102333778/null
Global Education Policy Dashboard : Technical Note,2021-04-19,Working Paper,http://documents.worldbank.org/curated/en/724741621218191454/null
Will Every Child Be Able to Read by 2030 ? Defining Learning Poverty and Mapping the Dimensions of the Challenge,2021-03-19,Policy Research Working Paper,http://documents.worldbank.org/curated/en/258831616162286391/null
Statistical Performance Indicators and Index : A New Tool to Measure Country Statistical Capacity,2021-03-19,Policy Research Working Paper,http://documents.worldbank.org/curated/en/440191616164007723/null
Measuring the Statistical Performance of Countries : An Overview of Updates to the World Bank Statistical Capacity Index,2021-03-18,Report,http://documents.worldbank.org/curated/en/815721616086786412/null
"Enrollment without learning : teacher effort, knowledge, and skill in primary schools in Africa",2017-11-01,Journal Article,http://documents.worldbank.org/curated/en/909001515649925520/null
What do teachers know and do ? does it matter ? evidence from primary schools in Africa,2017-01-26,Policy Research Working Paper,http://documents.worldbank.org/curated/en/882091485440895147/null
